linear_AGO_Combined_fy,2.57944083699054,1.02189046900626,0.0653288898664578,2.69791070053972e-07,,,,
quadratic_AGO_Combined_fy,2.56139943939603,0.997562256433231,0.077628256282038,-0.00046187227122015,1.37154465887086e-08,,,
cubic_AGO_Combined_fy,2.41903894465321,0.864927069579144,0.206693864705083,-0.0162124441530053,0.000273270884867221,5.10903083545325e-07,,
fourth_AGO_Combined_fy,2.38624811387899,0.891988877258404,0.166764382522472,-0.00636285622736942,-0.000324652745656786,6.66817657833465e-06,0.00018126014432369,
fourth_AGO_Combined_fy,2.38624811387899,0.891988877258404,0.166764382522472,-0.00636285622736942,-0.000324652745656786,6.66817657833465e-06,0.00018126014432369,
Q_AGO_Combined_fy,3.25138955897355,1.164994319912,0.00234085394808487,4.14133170535099e-11,,,,
QE_AGO_Combined_fy,3.25099056462334,1.1644991153881,0.00234050040730832,161.33438104602,2.58174240920793e-08,,,
QE2_AGO_Combined_fy,3.25138955882576,0.164993971168579,0.00234085238294134,-2.64299499470341e-09,9.19143128576763e-13,,,
LE_AGO_Combined_fy,2.57944045299985,0.021891273968842,0.0653288848435505,-5.12707709423922e-09,1.07919696954988e-08,,,
LQE_AGO_Combined_fy,2.56215481669087,0.995420987392895,0.0776865713457227,-0.000464159426867654,271.318113718196,0.000621990832103085,,
LE2_AGO_Combined_fy,2.53930573451767,-0.0154273872084054,0.0959621241043563,0.00322330930970539,0.0547029660613331,0.251484211311183,0.210050798880241,1.29225878147419e-08
LQE2_AGO_Combined_fy,2.52636865357199,-0.0634070872614873,0.151710486151781,-0.00137136628932428,0.0121058848739861,1.30267162871928e-06,,
gaussian_AGO_Combined_fy,2.55960065459156,4.91248909499829,-40.3539847997795,-227.496567657781,-105.345701841424,2.29030841426377e-07,,
skewGaussian_AGO_Combined_fy,2.55960064941109,4.91229365742138,-20.171474842315,-227.461412894158,-105.334480781134,-33.371474910855,8.9472028905998e-08,
morstin_AGO_Combined_fy,2.56247521024899,1883.60764549719,0.000529991385155985,4.16183473185638e-05,-2.24268093770389e-07,0.000296081172861083,,
