0.01,0.000134868.
0.0100344,2.02843e-05.
0.010069,3.72331e-05.
0.0101036,4.92973e-05.
0.0101384,4.79146e-05.
0.0101733,9.09914e-05.
0.0102083,4.71468e-05.
0.0102435,7.29058e-05.
0.0102787,4.75684e-05.
0.0103141,0.000118359.
0.0103496,8.80965e-05.
0.0103852,7.98792e-05.
0.010421,7.53903e-05.
0.0104568,0.00010893.
0.0104928,0.000245728.
0.010529,0.000235923.
0.0105652,0.0002022.
0.0106016,0.000228049.
0.0106381,0.000216251.
0.0106747,0.000219555.
0.0107114,0.000226537.
0.0107483,0.00031044.
0.0107853,0.000231511.
0.0108224,0.000431618.
0.0108597,0.000353591.
0.0108971,0.000328699.
0.0109346,0.000428997.
0.0109722,0.000700296.
0.01101,0.000815145.
0.0110479,0.00104901.
0.0110859,0.00377194.
0.0111241,0.00516981.
0.0111624,0.00494846.
0.0112008,0.00482767.
0.0112393,0.00504699.
0.011278,0.00500908.
0.0113168,0.0052534.
0.0113558,0.00463176.
0.0113949,0.00462075.
0.0114341,0.00461539.
0.0114735,0.00459109.
0.011513,0.00471308.
0.0115526,0.00468504.
0.0115924,0.0048272.
0.0116323,0.00455327.
0.0116723,0.00450391.
0.0117125,0.00464875.
0.0117528,0.0046454.
0.0117933,0.00462144.
0.0118339,0.00490779.
0.0118746,0.00437616.
0.0119155,0.0045811.
0.0119565,0.00463805.
0.0119976,0.00468789.
0.0120389,0.00428165.
0.0120804,0.00397533.
0.012122,0.00434375.
0.0121637,0.00476149.
0.0122056,0.00444505.
0.0122476,0.00465676.
0.0122897,0.00518292.
0.012332,0.00437373.
0.0123745,0.00423617.
0.0124171,0.00423553.
0.0124598,0.00429365.
0.0125027,0.00423113.
0.0125458,0.00414312.
0.0125889,0.00396991.
0.0126323,0.00421976.
0.0126758,0.00430317.
0.0127194,0.00390946.
0.0127632,0.00416053.
0.0128071,0.00404247.
0.0128512,0.00387358.
0.0128954,0.00392597.
0.0129398,0.00397346.
0.0129844,0.00392589.
0.0130291,0.003851.
0.0130739,0.00375066.
0.0131189,0.0040079.
0.0131641,0.00394459.
0.0132094,0.0039051.
0.0132548,0.00370297.
0.0133005,0.00365405.
0.0133463,0.003477.
0.0133922,0.00362234.
0.0134383,0.00387242.
0.0134846,0.00376018.
0.013531,0.00344321.
0.0135775,0.00352055.
0.0136243,0.00388398.
0.0136712,0.00356851.
0.0137182,0.00339143.
0.0137655,0.00352929.
0.0138128,0.00355697.
0.0138604,0.003679.
0.0139081,0.00365911.
0.013956,0.00342301.
0.014004,0.00338914.
0.0140522,0.00352574.
0.0141006,0.00339587.
0.0141491,0.00354545.
0.0141978,0.00332871.
0.0142467,0.00340041.
0.0142957,0.00330156.
0.014345,0.0035235.
0.0143943,0.00289123.
0.0144439,0.00309066.
0.0144936,0.00325522.
0.0145435,0.00322706.
0.0145936,0.00326401.
0.0146438,0.0033585.
0.0146942,0.00309232.
0.0147448,0.00312541.
0.0147955,0.0032588.
0.0148465,0.00335514.
0.0148976,0.00308277.
0.0149488,0.00434545.
0.0150003,0.00323345.
0.0150519,0.00297151.
0.0151038,0.00299568.
0.0151557,0.00295392.
0.0152079,0.00320484.
0.0152603,0.00306997.
0.0153128,0.00286008.
0.0153655,0.00288671.
0.0154184,0.00301412.
0.0154715,0.00288389.
0.0155247,0.00274078.
0.0155782,0.00321546.
0.0156318,0.00313504.
0.0156856,0.00292969.
0.0157396,0.00288844.
0.0157938,0.00291517.
0.0158481,0.00283987.
0.0159027,0.00282385.
0.0159574,0.00291343.
0.0160124,0.00284971.
0.0160675,0.00267256.
0.0161228,0.00279897.
0.0161783,0.0177434.
0.016234,0.00353884.
0.0162898,0.00419864.
0.0163459,0.00331079.
0.0164022,0.00321271.
0.0164586,0.0035744.
0.0165153,0.00296726.
0.0165722,0.00314727.
0.0166292,0.00282875.
0.0166864,0.00311796.
0.0167439,0.00307196.
0.0168015,0.00322762.
0.0168593,0.00429445.
0.0169174,0.00289936.
0.0169756,0.00287792.
0.0170341,0.00296443.
0.0170927,0.00289911.
0.0171515,0.00266811.
0.0172106,0.00251719.
0.0172698,0.00258945.
0.0173293,0.00264856.
0.0173889,0.00272187.
0.0174488,0.00248536.
0.0175088,0.0028084.
0.0175691,0.00238061.
0.0176296,0.00266804.
0.0176903,0.00257657.
0.0177511,0.00240851.
0.0178123,0.00241969.
0.0178736,0.00240979.
0.0179351,0.00246334.
0.0179968,0.00217745.
0.0180588,0.00242517.
0.0181209,0.00209149.
0.0181833,0.00229247.
0.0182459,0.00232415.
0.0183087,0.00226244.
0.0183717,0.00228373.
0.018435,0.00213103.
0.0184984,0.00217027.
0.0185621,0.00220714.
0.018626,0.00227914.
0.0186901,0.00210191.
0.0187545,0.00204953.
0.018819,0.00205396.
0.0188838,0.00297011.
0.0189488,0.00229562.
0.019014,0.00217855.
0.0190795,0.00203204.
0.0191451,0.00168933.
0.019211,0.00198216.
0.0192772,0.00192744.
0.0193435,0.00193739.
0.0194101,0.0020014.
0.0194769,0.00207424.
0.019544,0.00189182.
0.0196112,0.00187703.
0.0196788,0.00195797.
0.0197465,0.00201687.
0.0198145,0.00204989.
0.0198827,0.00173803.
0.0199511,0.00187238.
0.0200198,0.0133433.
0.0200887,0.00234062.
0.0201579,0.00306907.
0.0202272,0.00214072.
0.0202969,0.0026356.
0.0203667,0.00221087.
0.0204368,0.00212982.
0.0205072,0.00192151.
0.0205778,0.00196049.
0.0206486,0.00311382.
0.0207197,0.00206044.
0.020791,0.0024723.
0.0208626,0.00203065.
0.0209344,0.00205183.
0.0210065,0.00198146.
0.0210788,0.00188034.
0.0211513,0.00186614.
0.0212241,0.00191265.
0.0212972,0.00165221.
0.0213705,0.00195283.
0.0214441,0.00181269.
0.0215179,0.00180588.
0.0215919,0.00182689.
0.0216663,0.00180639.
0.0217408,0.0016392.
0.0218157,0.00166209.
0.0218908,0.00172469.
0.0219661,0.00170382.
0.0220417,0.00157185.
0.0221176,0.00175148.
0.0221938,0.00170149.
0.0222701,0.00172851.
0.0223468,0.00165761.
0.0224237,0.00181962.
0.0225009,0.00169546.
0.0225784,0.00195298.
0.0226561,0.00183144.
0.0227341,0.00185781.
0.0228123,0.00185824.
0.0228909,0.00189576.
0.0229697,0.00189764.
0.0230487,0.00187704.
0.0231281,0.00190017.
0.0232077,0.00203982.
0.0232876,0.00178348.
0.0233677,0.0018166.
0.0234482,0.00189254.
0.0235289,0.00184113.
